# Permission definitions for applet blanketPurchaseOrderApplet — extracted 2026-09-05 from akaun_master (product registry metadata; no tenant data).
# Client-side: bl_applet_client_side_perm_dfn joined on bl_applet_hdr.code. Server-side: app_perm_dfn rows whose perm_code contains BLANKET_PURCHASE_ORDER (target_options summarised).
scope	perm_type	perm_code	perm_name	status	targets
client	CLIENT_SIDE_PERM	BLANKET_PURCHASE_ORDER_DISPLAY_PRICING	BLANKET_PURCHASE_ORDER_DISPLAY_PRICING	ACTIVE	
client	CLIENT_SIDE_PERM	HIDE_PRICE	HIDE_PRICE	ACTIVE	
client	CLIENT_SIDE_PERM	SHOW_TRANSACTION_DATE	SHOW_TRANSACTION_DATE	ACTIVE	
server	SYS_DEF_PERM	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_CREATE_TGT_GUID	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_CREATE_TGT_GUID	ACTIVE	target_type: UNIQUE, target_api_url: core2/tnt/dm/erp/companies, core2/tnt/dm/erp/branches, core2/tnt/dm/erp/locations, core2/tnt/dm/erp/entity, target_hdr_guid: , target_hdr_table: bl_fi_mst_comp , bl_fi_mst_branch , bl_inv_mst_location , bl_fi_mst_entity_hdr, target_line_guid: , target_line_table: , target_hdr_table_view_name: Company, Branch, Location, Entity, target_hdr_table_view_field: code, code, code, name
server	SYS_DEF_PERM	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_DELETE_TGT_GUID	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_DELETE_TGT_GUID	ACTIVE	target_type: UNIQUE, target_api_url: core2/tnt/dm/erp/companies, core2/tnt/dm/erp/branches, core2/tnt/dm/erp/locations, core2/tnt/dm/erp/entity, target_hdr_guid: , target_hdr_table: bl_fi_mst_comp , bl_fi_mst_branch , bl_inv_mst_location , bl_fi_mst_entity_hdr, target_line_guid: , target_line_table: , target_hdr_table_view_name: Company, Branch, Location, Entity, target_hdr_table_view_field: code, code, code, name
server	SYS_DEF_PERM	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_READ_TGT_GUID	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_READ_TGT_GUID	ACTIVE	target_type: UNIQUE, target_api_url: core2/tnt/dm/erp/companies, core2/tnt/dm/erp/branches, core2/tnt/dm/erp/locations, core2/tnt/dm/erp/entity, target_hdr_guid: , target_hdr_table: bl_fi_mst_comp , bl_fi_mst_branch , bl_inv_mst_location , bl_fi_mst_entity_hdr, target_line_guid: , target_line_table: , target_hdr_table_view_name: Company, Branch, Location, Entity, target_hdr_table_view_field: code, code, code, name
server	SYS_DEF_PERM	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_UPDATE_TGT_GUID	TNT_API_DOC_INTERNAL_CUSTOM_INTERNAL_BLANKET_PURCHASE_ORDER_UPDATE_TGT_GUID	ACTIVE	target_type: UNIQUE, target_api_url: core2/tnt/dm/erp/companies, core2/tnt/dm/erp/branches, core2/tnt/dm/erp/locations, core2/tnt/dm/erp/entity, target_hdr_guid: , target_hdr_table: bl_fi_mst_comp , bl_fi_mst_branch , bl_inv_mst_location , bl_fi_mst_entity_hdr, target_line_guid: , target_line_table: , target_hdr_table_view_name: Company, Branch, Location, Entity, target_hdr_table_view_field: code, code, code, name
